"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"NER",1001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,0,0,0,0,1,0,0,0,0
"NER",1002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,13,0,0,0,0,0,0,1,0,0
"NER",1003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,21,0,0,0,0,1,0,0,0,0
"NER",1004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,1,0,0,0,0,0
"NER",1005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,25,0,0,0,0,1,0,0,0,0
"NER",1006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",1007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,20,0,0,0,0,1,0,0,0,0
"NER",1008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,60,0,0,0,0,1,0,0,0,0
"NER",1009,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,9,0,0,0,0,0,0,1,0,0
"NER",1010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,5,0,0,0,1,0,0,0,0,0
"NER",1011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,10,0,0,2,0,0,0,0,0,0
"NER",1012,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,20,0,0,0,1,0,0,1,0,0
"NER",2001,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,1,0,0
"NER",2002,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",2003,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",2004,3,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",2005,4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0
"NER",2006,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",2007,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",2009,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",2010,4,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",2011,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",2013,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",2016,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",3002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0
"NER",3003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,1,1,0,0,0
"NER",3004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,0,0,5,0,1,0,0,0,0
"NER",3005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,20,0,0,13,0,1,0,0,0,0
"NER",3007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,0,0,9,1,1,0,0,0,0
"NER",3008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,7,0,0,7,0,1,0,0,0,0
"NER",3009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,0,0
"NER",3010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,0,0,24,1,1,0,1,0,0
"NER",3011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,29,0,0,0,0,0,0,0,0,0
"NER",3012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,0,0,2,0,0,0,1,0,0
"NER",3014,4,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,4,0,0,47,0,0,0,0,0,0
