"country","year","hhid","grappe","menage","vague","zae","region","milieu","hhweight","hhsize","eqadu1","eqadu2","hgender","hage","hmstat","hreligion","hnation","halfab","heduc","hdiploma","hhandig","hactiv7j","hactiv12m","hbranch","hsectins","hcsp","dali","dnal","dtot","pcexp","zref","def_spa","def_temp"
"NER",2018,1001,1,1,2,4,1,2,47.1841087341309,4,2.69000005722046,2.44471025466919,1,68,2,1,6,0,1,0,0,1,1,2,3,9,625703.501953125,177542.554321289,803246.0625,200517.8125,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1002,1,2,2,4,1,2,47.1841087341309,3,2.20999997854233,2.03320145606995,1,40,2,1,6,1,1,0,0,1,1,2,3,9,522616.785644531,306919.065795898,829535.875,276107.5625,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1003,1,3,2,4,1,2,47.1841087341309,5,3.51999998092651,2.84862303733826,1,35,2,1,6,0,1,0,0,1,1,2,3,9,517250.700439453,185833.944458008,703084.625,140411.265625,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1004,1,4,2,4,1,2,47.1841087341309,2,1.37999999523163,1.44039678573608,2,35,6,1,6,0,1,0,0,1,1,4,3,9,329402.083496094,115303.972839355,444706.0625,222027.828125,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1005,1,5,2,4,1,2,47.1841087341309,7,4.66500002145767,3.638516664505,1,67,3,1,6,1,1,0,0,1,1,6,3,9,1079855.94311523,304103.968994141,1383959.875,197419.375,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1006,1,6,2,4,1,2,47.1841087341309,1,0.790000021457672,1,1,74,6,1,6,1,1,0,0,1,1,1,3,4,255004.9375,263189.1328125,518194.0625,517436.15625,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1007,1,7,2,4,1,2,47.1841087341309,2,1.4200000166893,1.44039678573608,2,73,5,1,6,0,1,0,0,1,1,2,3,9,488499.59375,178806.369140625,667305.9375,333164.96875,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1008,1,8,2,4,1,2,47.1841087341309,7,5.06999999284744,3.638516664505,1,44,3,1,6,0,1,0,0,1,1,2,3,9,1032278.84472656,458783.750793457,1491062.625,212697.40625,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1009,1,9,2,4,1,2,47.1841087341309,4,2.44999998807907,2.28110885620117,2,29,2,1,6,0,1,0,0,1,1,2,3,9,555469.785522461,172057.266601563,727527.0625,181615.75,181781.578125,1.00146472454071,0.996945142745972
"NER",2018,1010,1,10,2,4,1,2,47.1841087341309,2,1.20999997854233,1.44039678573608,2,25,3,1,6,0,3,0,0,1,1,2,3,9,586871.062988281,183631.000854492,770502.0625,384687.5625,181781.578125,1.00146472454071,0.996945142745972
