"vague","grappe","menage","s10q12a_1","s10q12a_2","s10q15__0","s10q15__1","s10q17a","s10q17b","s10q17c","s10q18a","s10q18__0","s10q18__1","s10q18__2","s10q19a","s10q19__0","s10q19__1","s10q20","s10q21","s10q22","s10q23","s10q24","s10q25","s10q26","s10q27","s10q28","s10q29","s10q30","s10q31","s10q32","s10q33","s10q34","s10q35","s10q36","s10q37","s10q38","s10q39","s10q40","s10q41","s10q42","s10q43","s10q44","s10q45a","s10q45b","s10q45c","s10q45d","s10q45e","s10q45f","s10q45g","s10q45h","s10q45i","s10q45j","s10q45k","s10q45l","s10q45m","s10q45n","s10q45o","s10q46","s10q47","s10q48","s10q49","s10q50","s10q51","s10q52","s10q53","s10q54","s10q55","s10q56","s10q57","s10q58","s10q59","s10q60","s10q61a_1","s10q61b_1","s10q61c_1","s10q61d_1","s10q61a_2","s10q61b_2","s10q61c_2","s10q61d_2","s10q61a_3","s10q61b_3","s10q61c_3","s10q61d_3","s10q61a_4","s10q61b_4","s10q61c_4","s10q61d_4","s10q61a_5","s10q61b_5","s10q61c_5","s10q61d_5","s10q61a_6","s10q61b_6","s10q61c_6","s10q61d_6","s10q61a_7","s10q61b_7","s10q61c_7","s10q61d_7","s10q61a_8","s10q61b_8","s10q61c_8","s10q61d_8","s10q62a_1","s10q62b_1","s10q62c_1","s10q62d_1","s10q62a_2","s10q62b_2","s10q62c_2","s10q62d_2","s10q62a_3","s10q62b_3","s10q62c_3","s10q62d_3","s10q62a_4","s10q62b_4","s10q62c_4","s10q62d_4","s10q13"
1,403,7,3,"CULTURE SAISONNIERE",1,,1,,,1,1,,,1,1,,2013,0,,8,,,,,2,3,2,2,3,1,1,2,,2,,2,,1,1670,9,6,3,2,1,2,2,2,2,3,2,3,3,2,3,2,3,0,0,0,0,13340,0,0,0,0,0,0,0,2,5,2,1,5,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,393,12,1,"ACTIVITE DE COMMERCE",1,,1,,,2,,,,2,,,2008,0,,2,,,,,2,3,2,2,2,1,1,2,,2,,2,,2,,6,6,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,100000,40000,0,0,0,1000,0,0,0,0,0,0,2,11,3,1,11,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
2,426,1,2,"agriculture",1,,1,,,1,1,,,1,1,,2005,0,,8,,,,,1,3,2,2,3,1,1,2,,2,,2,,2,,9,6,2,3,3,3,3,2,2,3,3,3,3,2,3,2,3,0,0,0,30000,2000,1000,0,0,1500,0,0,0,1,5,2,1,5,26,10,2,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,221,4,2,"FABRICATION DES BEIGNETS",2,,1,,,1,2,,,1,2,,2014,0,,4,,,,,2,3,2,2,2,1,1,2,,2,,2,,1,4500,6,6,2,2,1,2,3,1,2,2,2,3,3,3,3,3,3,0,0,20000,8000,0,0,0,0,0,0,0,0,1,12,,2,12,25,4,5,12,25,4,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2
2,106,6,1,"VENTE DE  PRODUITS MARAICHERS",1,,1,,,1,1,,,1,1,,2015,0,,2,,,,,1,3,2,2,2,1,2,2,,2,,2,,1,1500,8,6,3,2,2,2,3,2,2,3,2,3,3,2,3,2,2,103000,0,0,0,0,5000,0,0,0,0,0,0,2,9,2,1,9,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,237,8,1,"vente du lait frais",2,,1,,,2,,,,2,,,2016,0,,4,,,,,2,3,2,2,3,1,3,2,,2,,2,,2,,9,6,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,600,0,0,0,0,0,0,0,0,0,2,3,2,2,3,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2
2,314,12,1,"EMBOUCHE DE MOUTON",1,,1,,,1,1,,,1,1,,1999,0,,4,,,,,2,3,2,2,2,1,1,2,,2,,2,,2,,6,6,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,0,0,25000,50000,0,5000,0,0,0,0,0,0,1,12,,1,12,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
2,103,2,1,"VENTE DES ANIMAUX VIVANTS",1,,1,,,1,1,,,1,1,3,2007,0,,3,,,,,2,3,2,2,3,1,1,2,,2,,2,,2,,9,6,3,3,1,2,3,3,3,3,3,3,3,3,3,3,2,90000,60000,0,0,0,2000,0,0,0,0,6000,0,2,12,,1,12,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,3
1,153,12,1,"ÉLEVAGE BÉTAIL",1,,1,,,1,1,,,1,1,,1989,0,,7,,,,,1,3,2,2,3,1,9,2,,2,,2,,2,,9,6,3,2,2,2,2,2,3,3,2,3,3,2,3,2,2,0,0,0,0,20000,0,0,0,0,0,0,0,1,12,,1,12,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,123,5,1,"PRODUCTION ET VENTE DE LAIT CAILLE ET DE BEURRE",1,,1,,,1,1,,,1,1,,1994,0,,4,,,,,1,3,2,2,3,1,1,2,,2,,2,,2,,9,6,2,2,2,2,3,2,2,2,3,3,3,2,3,2,2,0,7000,2000,0,0,0,0,0,0,0,0,0,1,12,,1,12,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,13,10,1,"production des fromages",1,,1,,,1,1,2,,1,1,2,1950,0,,4,,,,,2,3,2,2,2,1,1,2,,2,,2,,2,,9,6,3,2,2,2,2,2,3,2,2,3,3,2,3,2,2,0,0,45000,0,0,8000,0,0,0,0,0,0,1,6,11,1,6,30,6,2,6,26,6,3,6,30,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1
1,95,1,1,"ÉLEVAGE",1,2,1,,,1,1,2,,1,1,,9999,0,,8,,,,,2,3,2,2,3,1,2,2,,2,,2,,2,,9,1,3,3,1,2,2,2,2,2,2,3,3,3,3,2,3,0,0,0,5000,0,10000,0,0,30000,0,0,0,1,12,,1,7,17,7,6,4,19,5,7,12,20,8,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2
