"vague","grappe","menage","s16aq02","s16a01a","s16aq03","s16a01b","s16aq05","s16aq07","s16aq08","s16aq09a","s16aq09b","s16aq10","s16aq12","s16aq13","s16aq14__0","s16aq14__1","s16aq14__2","s16aq14__3","s16aq14__4","s16aq14__5","s16aq14__6","s16aq14__7","s16aq14__8","s16aq14__9","s16aq14__10","s16aq15","s16aq16","s16aq16a","s16aq17","s16aq18","s16aq19","s16aq20","s16aq21","s16aq22","s16aq23","s16aq24a","s16aq24b","s16aq25","s16aq26","s16aq27","s16aq28","s16aq29a1","s16aq29a2","s16aq29b1","s16aq29b2","s16aq29c1","s16aq29c2","s16aq29d1","s16aq29d2","s16aq30","s16aq31a1","s16aq31a2","s16aq31b1","s16aq31b2","s16aq31c1","s16aq31c2","s16aq31d1","s16aq31d2","s16aq32","s16aq34","s16aq36","s16aq38","s16aq40","s16aq42","s16aq44","s16aq45","s16aq47","s16aq48","s16aq33a_1","s16aq33b_1","s16aq33a_2","s16aq33b_2","s16aq33a_3","s16aq33b_3","s16aq33a_4","s16aq33b_4","s16aq33a_5","s16aq33b_5","s16aq33a_6","s16aq33b_6","s16aq33a_7","s16aq33b_7","s16aq33a_8","s16aq33b_8","s16aq33a_9","s16aq33b_9","s16aq33a_10","s16aq33b_10","s16aq33a_11","s16aq33b_11","s16aq33a_12","s16aq33b_12","s16aq33a_13","s16aq33b_13","s16aq33a_14","s16aq33b_14","s16aq33a_15","s16aq33b_15","s16aq35a_1","s16aq35b_1","s16aq35a_2","s16aq35b_2","s16aq35a_3","s16aq35b_3","s16aq35a_4","s16aq35b_4","s16aq35a_5","s16aq35b_5","s16aq35a_6","s16aq35b_6","s16aq35a_7","s16aq35b_7","s16aq35a_8","s16aq35b_8","s16aq35a_9","s16aq35b_9","s16aq35a_10","s16aq35b_10","s16aq37a_1","s16aq37b_1","s16aq37a_2","s16aq37b_2","s16aq37a_3","s16aq37b_3","s16aq37a_4","s16aq37b_4","s16aq37a_5","s16aq37b_5","s16aq37a_6","s16aq37b_6","s16aq37a_7","s16aq37b_7","s16aq37a_8","s16aq37b_8","s16aq37a_9","s16aq37b_9","s16aq37a_10","s16aq37b_10","s16aq37a_11","s16aq37b_11","s16aq39a_1","s16aq39b_1","s16aq39c_1","s16aq39a_2","s16aq39b_2","s16aq39c_2","s16aq39a_3","s16aq39b_3","s16aq39c_3","s16aq39a_4","s16aq39b_4","s16aq39c_4","s16aq41a_1","s16aq41b_1","s16aq41c_1","s16aq41a_2","s16aq41b_2","s16aq41c_2","s16aq41a_3","s16aq41b_3","s16aq41c_3","s16aq41a_4","s16aq41b_4","s16aq41c_4","s16aq43a_1","s16aq43b_1","s16aq43c_1","s16aq43a_2","s16aq43b_2","s16aq43c_2","s16aq43a_3","s16aq43b_3","s16aq43c_3","s16aq43a_4","s16aq43b_4","s16aq43c_4","s16aq35a_11","s16aq35b_11","s16aq35a_12","s16aq35b_12","s16aq35a_13","s16aq35b_13","s16aq35a_14","s16aq35b_14","s16aq37a_12","s16aq37b_12","s16aq37a_13","s16aq37b_13","s16Aq00","s16aq04","s16aq06","s16aq11"
2,14,7,1,"1",1,"tomates et piment",2,2,29,100,2,2,,,,,,,,,,,,,,,,,1,1,2,2,30,1,2,4,3,2,,1,3,1,3,0,,0,,0,,1,1,3,0,,0,,0,,1,1,1,1,1,1,2,1,0.001,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,1,30,,,,,,,,,,,,,,,,,,,,,3,2,0,0,,,0,,,0,,,5,4,0,0,,,0,,,0,,,3,2,18000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
1,15,1,1,"AZENE",1,"parcelle1",1,1,29,1809.1,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,15,1,5,30,9,1,1,1,4,1,3,0,,1,3,0,,1,1,3,1,3,1,3,0,,1,2,1,1,2,1,2,1,0.18091,,1,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,4,3,37500,0,,,0,,,0,,,,,,,,,,,,,,,2,6,24000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,1,1,"AZENE",2,"parcelle2",1,1,24,499.49,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,15,2,,,,2,,1,3,0,,0,,0.5,3,0.5,3,1,2,3,0,,0,,0,,1,2,1,2,2,1,2,1,0.049949,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,12000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",3,"TOMATE",1,1,29,208.5,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,4,6,2,,1,1,2,3,0,,0,,0,,1,3,3,0,,0,,0,,1,2,1,2,1,1,2,1,208.7,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,25000,0,,,0,,,0,,,5,12,6000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",5,"MAÏS",1,1,4,264.11,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,6,5,2,,2,,,,,,,,,,1,2,3,0,,0,,0,,1,2,1,1,1,1,2,1,264.11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,2,6,10000,0,,,0,,,0,,,1,6,12000,0,,,0,,,0,,,5,3,15000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",1,"HOMME DE TERRE",1,1,16,586.24,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,2,5,2,,1,6,3,3,0,,0,,2,3,1,2,3,0,,1,4,0,,1,1,1,2,1,1,2,1,586.24,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,20000,0,,,0,,,0,,,7,4,12000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",2,"OIGNON",1,1,33,4095.3,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,2,5,2,,1,18,1,3,0,,0,,1,3,1,2,3,0,,2,3,0,,1,1,1,2,1,1,2,1,4095.3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,0,0,,,0,,,0,,,7,3,15000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",6,"BLÉ",1,1,6,2884.6,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,3,5,2,,2,,,,,,,,,,1,0.5,3,0,,0,,0,,1,2,1,1,2,1,2,1,2884.6,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,5,3,15000,0,,,0,,,0,,,,,,,,,,,,,,,5,2,10000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,4,1,"CHAMP1",4,"PIMENT VERT",1,1,24,691.53,2,1,2,7,,,,,,,,,,,,2,,,1,2,2,2,80,1,4,6,5,2,,1,18,3,3,0,,0,,2,3,1,3,3,0,,2,3,0,,1,1,1,2,1,1,2,1,691.53,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,60000,0,,,0,,,0,,,7,10,50000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,1,"inguilichan",1,"parcelle1",1,1,33,1609.64,2,1,5,7,,,,,,,,,,,,2,,,1,3,2,2,20,1,2,1,9,1,3,1,4,2,3,0,,2,3,2,3,1,6,3,3,3,0,,3,3,2,2,2,1,1,1,2,1,0.160964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,45000,0,,,0,,,0,,,1,12,30000,0,,,0,,,0,,,4,5,30000,4,5,0,3,5,0,2,5,0,,,,,,,,,,,,,1,1,1,1
