"vague","grappe","menage","s20q01","s20q02","s20q03","s20q04","s20q05","s20q06","s20q07","s20q08","s20q09","s20q10","s20q11","s20q12","s20q13__1","s20q13__2","s20q13__3","s20q13__4","s20q13__5","s20q13__6","s20q13__7","s20q13__8","s20q13__9","s20q13__10","s20q13__11","s20q13__12","s20q15a","s20q15b","s20q15c","s20q15d","s20q16a","s20q16b","s20q16c","s20q16d","s20q17a","s20q17b","s20q17c","s20q17d","s20q18a","s20q18b","s20q18c","s20q18d","s20q00"
2,1,1,3,3,3,3,3,30000,4,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,2,2,2,2,4,2,60000,4,2,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,3,2,3,2,4,2,50000,4,2,2,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,1,4,2,3,3,4,3,25000,4,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,5,1,2,2,4,2,300000,4,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
2,1,6,1,4,4,4,4,100000,4,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,7,2,4,4,4,3,100000,4,2,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,8,1,3,3,4,2,150000,4,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
2,1,9,1,3,3,4,3,100000,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,1,10,1,3,3,4,3,100000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
2,1,11,1,3,3,4,3,100000,4,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
2,1,12,1,4,4,5,3,200000,4,2,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,1,2,2,2,3,2,200000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,2,2,2,2,2,3,2,150000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,2,3,2,2,2,3,2,75000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,4,2,2,2,2,2,150000,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,5,2,3,4,4,3,100000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,6,1,3,4,4,3,200000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,2,7,2,2,2,4,3,150000,4,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,9,1,3,4,4,4,150000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,10,1,3,3,2,3,120000,4,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,11,1,3,2,3,3,90000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,2,13,1,3,1,4,3,300000,4,2,2,2,4,4,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,2,16,1,3,3,4,3,400000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
1,3,2,1,3,2,4,3,60000,4,1,1,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,3,3,1,3,3,5,3,45000,4,2,2,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2
1,3,4,1,3,2,4,3,50000,4,1,1,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,3,5,1,2,2,4,2,150000,4,1,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,3,7,1,4,4,5,3,50000,4,2,1,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,3,8,3,4,5,4,4,50000,4,1,1,2,4,4,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,3,9,1,3,3,4,3,20000,2,2,2,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,3,10,1,3,2,4,3,150000,4,2,3,1,2,2,0,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,1
1,3,11,1,3,4,4,2,100000,2,2,2,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,3,12,1,3,3,4,3,100000,4,2,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,2
1,3,14,1,3,2,4,2,100000,4,1,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,3,15,1,4,4,5,3,120000,4,1,1,2,4,4,1,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,2
2,4,1,1,3,4,4,3,70000,4,2,2,2,4,4,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
2,4,3,1,3,4,4,3,70000,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,2
2,4,4,1,3,3,4,3,100000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
2,4,6,2,3,4,5,2,100000,4,2,2,2,4,4,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,7,2,2,5,3,2,150000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,8,1,4,3,4,3,150000,4,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
2,4,9,2,4,5,5,4,100000,4,2,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,11,2,3,3,5,3,150000,1,2,2,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,12,2,2,5,3,2,200000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,4,13,1,3,4,5,3,250000,4,2,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,14,1,3,4,4,3,300000,4,1,2,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,4,15,1,2,2,5,2,500000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
1,5,1,1,3,2,2,2,300000,2,2,2,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,5,2,2,4,3,4,3,150000,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
1,5,3,2,3,2,4,2,400000,4,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,1
1,5,4,1,2,2,2,2,400000,1,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,5,5,2,4,3,4,3,75000,2,4,2,2,4,4,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
1,5,6,2,4,4,4,3,75000,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,1
1,5,7,1,3,3,5,3,300000,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
1,5,8,1,3,4,4,3,200000,1,2,1,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,5,9,2,3,5,5,2,100000,4,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,1
1,5,10,2,4,5,4,4,200000,4,2,1,2,4,4,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
1,5,11,1,2,2,2,2,250000,2,2,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,5,12,2,3,2,4,2,80000,4,2,4,2,4,4,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,2
2,6,1,1,4,4,4,3,100000,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,6,3,1,2,2,4,2,120000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
2,6,5,2,3,3,5,3,150000,4,2,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,6,2,3,2,4,2,250000,4,2,2,2,4,4,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,7,2,3,3,4,2,150000,4,2,2,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,10
2,6,9,3,3,5,5,3,100000,4,2,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,10,2,2,5,4,3,130000,2,2,2,2,4,4,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,11,3,3,5,5,3,50000,4,2,2,2,4,4,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,12,3,3,5,5,3,150000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,14,1,4,3,4,3,200000,4,1,1,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,6,15,1,4,4,4,4,100000,1,4,1,2,4,4,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,6,16,2,3,3,4,2,600000,2,2,2,2,4,4,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
1,7,1,1,4,4,4,3,500000,2,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
1,7,2,2,3,3,4,2,75000,2,2,2,2,4,4,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
1,7,4,2,3,4,4,3,300000,4,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
1,7,5,2,4,3,4,2,300000,4,1,1,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2
1,7,6,2,3,1,3,1,120000,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,1
1,7,7,2,4,3,4,3,60,4,2,2,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,7,8,3,3,3,4,2,400000,4,1,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,1
1,7,9,1,3,2,4,3,100000,4,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,3
1,7,10,1,3,5,4,3,500000,1,1,2,1,2,2,0,0,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,1
1,7,11,2,3,2,4,3,75000,4,2,2,2,2,2,0,0,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,7,12,1,3,3,4,3,150000,2,2,1,2,2,2,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,7,13,2,4,3,4,3,75000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,8,2,1,2,2,5,2,500000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,2
2,8,3,1,4,3,4,3,200000,4,1,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,2
2,8,4,1,4,4,4,3,100000,4,1,1,2,4,4,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
2,8,5,1,3,3,4,3,150000,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,2
2,8,6,2,3,3,5,2,300000,4,2,2,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1
2,8,7,2,3,3,4,3,50000,4,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,2
2,8,9,2,3,5,5,2,200000,4,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,8,10,2,1,1,5,2,200000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,8,11,3,3,5,5,2,100000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,8,12,3,3,5,5,2,100000,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,8,14,1,3,3,5,3,250000,4,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
2,8,16,1,3,2,4,3,300000,4,2,2,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,7
1,9,1,1,3,3,5,3,100000,1,2,2,1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1
1,9,2,1,3,4,4,3,300000,2,1,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,9,3,1,3,4,4,3,30000,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1
1,9,4,1,3,2,5,2,500000,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,9,5,1,4,3,4,3,45000,4,2,2,2,4,4,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
1,9,6,3,3,2,3,2,60000,2,2,2,2,4,4,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,2
1,9,7,1,3,4,4,3,350000,2,1,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
1,9,8,2,3,3,4,2,60000,4,2,2,2,4,4,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,1
1,9,9,1,3,3,4,3,60000,2,2,2,2,4,4,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,2
1,9,10,1,3,4,4,3,400000,2,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,9,11,2,4,4,4,3,160000,1,1,1,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
1,9,12,1,4,4,4,4,200000,4,4,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1
2,10,1,1,3,3,4,2,150000,2,2,2,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,10,2,1,3,4,4,2,300000,4,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
2,10,3,1,4,3,4,3,250000,1,2,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,10,4,2,3,3,3,2,1000000,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,1
2,10,5,2,3,3,4,3,100000,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,1
2,10,6,2,3,3,4,3,100000,4,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,1
2,10,7,2,4,3,4,3,130000,4,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,2
2,10,8,2,4,3,4,3,100000,4,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
2,10,9,2,5,5,5,2,150000,4,2,2,2,4,4,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1
2,10,10,3,3,5,5,3,120000,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,10,11,2,3,5,5,3,130000,4,1,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
2,10,12,2,2,5,5,2,150000,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1
1,11,1,1,3,4,3,3,300000,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,11,2,2,3,2,2,2,400000,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1
1,11,3,2,3,4,4,3,150000,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1
1,11,4,1,3,5,4,2,50000,1,2,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1
1,11,5,1,3,3,4,3,150000,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,1
