departement;departement_nom
1;Bam
2;Bazèga
3;Bougouriba
4;Boulgou
5;Boulkiemdé
6;Comoé
7;Ganzourgou
8;Gnagna
9;Gourma
10;Houet
11;Kadiogo
12;Kénédougou
13;KOssi
14;Kouritenga
15;Mouhoun
16;Nahouri
17;Namentenga
18;Oubritenga
19;Oudalan
20;Passoré
21;Poni
22;Sanguié
23;Sanmatenga
24;Séno
25;Sissili
26;Soum
27;Sourou
28;Tapoa
29;Yatenga
30;Zoundwéogo
31;Balé
32;Banwa
33;Ioba
34;Komandjoari
35;Kompienga
36;Koulpelgo
37;Kourweogo
38;Léraba
39;Loroum
40;Nayala
41;Noumbiel
42;Tuy
43;Yagha
44;Ziro
45;Zondoma
