departement;departement_nom
11;Kayes
12;Bafoulabe
13;Diema
14;Kenieba
15;Kita
16;Nioro
17;Yelimane
21;Koulikoro
22;Banamba
23;Dioila
24;Kangaba
25;Kati
26;Kolokani
27;Nara
31;Sikasso
32;Bougouni
33;Kadiolo
34;Kolondieba
35;Koutiala
36;Yanfolila
37;Yorosso
41;Segou
42;Baroueli
43;Bla
44;Macina
45;Niono
46;San
47;Tominian
51;Mopti
52;Bandiagara
53;Bankass
54;Djenne
55;Douentza
56;Koro
57;Tenenkou
58;Youwarou
61;Tombouctou
62;Dire
63;Goundam
64;Gourma-Rha
65;Niafunke
71;Gao
72;Ansongo
73;Bourem
74;Menaka
81;Kidal
82;Abeibara
83;Tessalit
84;Tin-Essako
91;District de Bamako
101;taoudenit
102;achouratt
103;alourche
104;arawane
105;bouzbeha
106;FOUM ELBA
111;menaka
