departement;departement_nom
11;dakar
12;pikine
13;rufisque
14;guediawaye
21;bignona
22;oussouye
23;ziguinchor
31;bambey
32;diourbel
33;M’BACKE
41;dagana
42;podor
43;SAINT LOUIS
51;bakel
52;tambacounda
53;goudiry
54;koupentoum
61;kaolack
62;nioro
63;guinguineo
71;M’BOUR
72;thies
73;tivaouane
81;kebemer
82;linguere
83;louga
91;fatick
92;foundiougne
93;gossas
101;kolda
102;velingara
103;MEDINA YORO FOULAH
111;matam
112;kanel
113;ranerou
121;kaffrine
122;birkelane
123;koungheul
124;MALEM HODDAR
131;kedougou
141;sedhiou
142;bounkiling
143;goudomp
