id_article;nom_article
1;Salon (Fauteuils et table basse)
2;Table a manger (table + chaises)
3;Lit
4;Matelas simple
5;Armoires et autres meubles
6;Tapis
7;Fer a repasser electrique
8;Fer a repasser a charbon
9;Cuisiniere a gaz ou electrique
10;Bonbonne de gaz
11;Rechaud (plaque) a gaz ou electrique
12;Four a micro-onde ou electrique
13;Foyers ameliores
14;Robot de cuisine electrique (Moulinex)
15;Mixeur/Presse-fruits non electrique
16;Refrigerateur
17;Congelateur
18;Ventilateur sur pied
19;Radio simple/Radiocassette
20;Appareil TV
21;Magnetoscope/CD/DVD
22;Antenne parabolique / decodeur
23;Lave-linge, seche linge
24;Aspirateur
25;Climatiseurs/splits
26;Tondeuse a gazon et autre article de jardinage
27;Groupe electrogene
28;Voiture personnelle
29;Cyclomoteur/Velomoteur, motocyclette
30;Bicyclette
31;Appareil photo
32;Camescope
33;Chaine Hi Fi
34;Telephone fixe
35;Telephone portable
36;Tablette
37;Ordinateur
38;Imprimante/Fax
39;Camera Video
40;Pirogue et hors-bord (bateaux de plaisance)
41;Fusils de chasse
42;Guitare
43;Piano et autre appareil de musique
44;Immeuble/Maison
45;Terrain non bati
