departement;departement_nom
11;aderbissinat
12;arlit
13;bilma
14;iferouane
15;ingall
16;tchirozerine
21;bosso
22;diffa
23;goudoumaria
24;MAINE-SOROA
25;N'GOURTI
26;N'GUIGMI
31;boboye
32;dioundiou
33;dogondoutchi
34;dosso
35;falmey
36;gaya
37;loga
38;tibiri (doutchi)
41;aguie
42;bermo
43;dakoro
44;gazaoua
45;guidan-roumdji
46;madarounfa
47;mayahi
48;tessaoua
51;abalak
52;bagaroua
53;BIRNI N'KONNI
54;bouza
55;illela
56;keita
57;madaoua
58;malbaza
59;tahoua
61;abala
62;ayerou
63;balleyara
64;banibangou
65;bankilare
66;filingue
67;gotheye
68;kollo
69;ouallam
71;belbedji
72;DAMAGARAM TAKAYA
73;dungass
74;goure
75;kantche
76;magaria
77;mirriah
78;takeita
79;tanout
490;VILLE DE MARADI
510;tassara
511;tchintabaraden
512;tillia
590;VILLE DE TAHOUA
610;say
611;tera
612;tillaberi
613;torodi
710;tesker
790;VILLE DE ZINDER
890;VILLE DE NIAMEY
