"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
231,1,13.4877364709973,7.09064005874097,36,351,"2018-11-25T16:45:33"
409,1,13.5213525,8.8432272,31,442,"2018-11-04T09:42:40"
89,1,14.1806943062693,11.7501578852534,27,391,"2018-11-29T16:24:38"
249,1,14.6141363,6.0353885,39,522,"2018-10-25T16:53:09"
165,1,14.2525495,6.8101501,27,411,"2018-11-05T08:50:50"
141,1,11.8919016933069,3.44534835778177,33,193,"2018-11-23T06:34:55"
275,1,13.7396614,5.9219595,39,320,"2018-12-11T13:45:08"
489,1,13.4681631,2.140158,26,209,"2018-12-15T14:00:39"
95,1,15.2685056,12.177975,15,390,"2018-10-18T16:30:12"
185,1,13.6349308,6.9375214,15,339,"2018-10-16T18:28:20"
273,1,14.3091720761731,6.44638711586595,50,438,"2018-12-09T08:41:34"
283,1,14.8328413,4.9738155,43,363,"2018-11-27T10:34:11"
435,1,13.8224822,8.995173,21,451,"2018-10-12T08:26:50"
111,1,13.1807663,2.8271216,18,225,"2018-11-03T15:20:30"
29,1,16.9766897,7.9784065,39,507,"2018-12-17T14:51:01"
239,1,13.794509,5.0867899,31,275,"2018-11-20T14:24:13"
403,1,13.2069272,9.4096633,24,390,"2018-12-13T09:18:30"
187,1,13.5453233,6.8159345,16,377,"2018-10-12T14:14:30"
287,1,14.8491629,5.5647656,45,438,"2018-11-17T16:29:39"
19,1,18.0641901,8.7117592,35,923,"2018-12-05T15:46:14"
149,1,13.5583696,3.313858,24,271,"2018-10-10T14:16:49"
58,1,13.4447981,12.3754025,37,327,"2018-11-24T13:11:39"
61,1,13.3098086,12.6146714,44,333,"2018-10-07T15:47:01"
423,1,14.8605123,8.3193971,27,406,"2018-10-23T10:02:40"
63,1,13.313158,12.6125855,14,313,"2018-10-11T08:39:20"
341,1,13.2566836,2.3567448,36,187,"2018-10-31T07:30:01"
331,1,13.6622178,1.7706519,35,223,"2018-10-15T15:25:09"
139,1,12.5321860983968,2.9456589370966,25,174,"2018-10-28T10:41:15"
13,1,17.8371368,7.4520385,17,446,"2018-10-29T08:28:00"
41,1,17.5486955,8.9480757,28,852,"2018-10-10T06:18:08"
285,1,14.5479253493249,4.8666481487453,43,305,"2018-11-30T11:53:05"
453,1,,,,,"##N/A##"
135,1,13.3251448,3.4730874,33,285,"2018-11-24T08:42:03"
153,1,12.8087663,3.8944509,48,241,"2018-11-16T15:39:38"
267,1,13.9674356,6.2077031,46,313,"2018-12-04T19:42:09"
495,1,13.483611,2.0927245,44,136,"2018-12-13T15:26:10"
269,1,13.7293259287253,6.05801129713655,37,310,"2018-12-03T19:52:31"
22,1,15.670731,7.1601294,15,506,"2018-10-25T17:14:50"
417,1,13.9694066,9.0854641,40,484,"2018-11-07T13:49:08"
67,1,13.3678556,12.737749,19,312,"2018-11-13T07:18:12"
17,1,18.4434643,8.9374406,23,963,"2018-12-09T11:15:39"
294,1,15.9023063,5.7989647,17,426,"2018-11-02T19:18:38"
493,1,13.5134648,2.0645448,28,208,"2018-10-09T09:58:49"
333,1,13.2949838,2.2986341,40,244,"2018-11-27T10:42:31"
155,1,13.2633562,4.0163059,25,271,"2018-11-08T07:43:41"
101,1,14.2506938,13.1093189,28,254,"2018-10-28T16:57:45"
429,1,14.6689522,9.0213512,39,490,"2018-11-01T06:46:31"
51,1,17.1561907,8.3621994,39,627,"2018-11-22T17:38:02"
233,1,15.2619795,5.8903097,13,438,"2018-11-05T07:47:20"
5,1,18.7482866,7.3963455,46,509,"2018-10-17T10:15:09"
39,1,17.1265177,8.0787031,39,607,"2018-11-27T07:17:38"
219,1,14.1949067,8.212115,33,439,"2018-10-20T20:07:20"
379,1,13.1807045079768,9.9054957088083,48,365,"2018-11-13T06:32:58"
491,1,13.5114845,2.1796927,36,276,"2018-12-18T16:24:33"
75,1,13.7215626,11.1246054,21,376,"2018-12-07T07:43:40"
151,1,13.0353993,3.9643025,31,97,"2018-11-14T13:26:40"
351,1,13.853632863611,0.755911963060498,49,263,"2018-11-10T16:28:32"
163,1,13.5501815,7.4426388,25,418,"2018-11-21T14:48:02"
9,1,18.7339506,7.4038034,25,448,"2018-10-16T08:27:08"
133,1,12.4013224,3.0461028,28,119,"2018-11-16T15:52:52"
290,1,14.643707,4.6480113,45,315,"2018-12-03T08:26:42"
471,1,13.5174616,2.1302315,29,233,"2018-12-14T10:29:03"
325,1,,,,,"##N/A##"
415,1,13.6731575,9.2070557,14,436,"2018-10-11T15:15:51"
251,1,14.6242057,6.2125707,37,448,"2018-10-29T17:10:01"
303,1,14.7492946218699,0.882895868271589,45,227,"2018-10-23T13:57:47"
281,1,13.9083916,5.4507053,35,311,"2018-12-06T08:41:41"
271,1,14.097560159862,6.07033730484545,31,330,"2018-12-06T16:46:14"
279,1,14.0486185,5.2802888,16,303,"2018-12-09T14:23:12"
62,1,13.3088842,12.5941518,15,351,"2018-10-14T15:05:20"
193,1,13.3192701,7.5535879,15,476,"2018-11-27T18:18:52"
157,1,13.1844214,4.0674347,40,260,"2018-11-11T08:03:11"
121,1,13.4904305,4.0045366,43,264,"2018-11-05T15:15:24"
335,1,14.2193489,2.1291345,41,251,"2018-10-11T11:38:31"
159,1,13.542674,7.8167481,31,438,"2018-11-18T14:37:32"
171,1,13.9162463,6.5807057,17,358,"2018-10-07T10:20:12"
413,1,13.6370219,9.470182,47,467,"2018-10-15T15:11:10"
179,1,13.3661367,7.7252412,38,457,"2018-11-11T08:13:15"
441,1,13.5570744657889,2.10326065309346,30,261,"2018-12-16T12:28:42"
339,1,14.4494541,2.1826612,33,322,"2018-10-07T15:50:02"
237,1,14.3449088,4.739486,17,304,"2018-10-09T17:32:09"
427,1,15.1730632,8.6631533,16,502,"2018-10-25T18:57:55"
201,1,13.4466756,7.0885567,44,351,"2018-11-20T10:22:03"
367,1,13.8345482340083,9.64329292997718,48,427,"2018-11-06T10:25:33"
243,1,13.9268295513466,5.32618263736367,35,301,"2018-11-17T13:03:28"
123,1,13.8383026,3.9671428,30,268,"2018-10-15T13:34:31"
45,1,17.2672554245219,7.83347859978676,32,552,"2018-11-03T08:10:44"
319,1,13.9262632280588,1.02760557085276,36,250,"2018-11-07T08:27:01"
381,1,13.7449615,10.7046495,24,367,"2018-11-20T07:34:01"
297,1,14.88001,5.2476925,22,393,"2018-11-10T16:57:11"
437,1,13.8088845,8.9794332,44,457,"2018-10-12T15:10:14"
395,1,13.1810162,8.8850716,19,436,"2018-11-10T14:57:30"
85,1,13.4231727,11.3855346,26,342,"2018-12-11T14:41:19"
481,1,13.4931309,2.1482383,28,250,"2018-12-17T13:56:50"
385,1,13.502188,8.4625328,35,479,"2018-10-23T15:15:13"
37,1,17.8825968,8.1844591,33,660,"2018-12-02T13:55:31"
91,1,15.527935,12.5773138,14,380,"2018-10-22T06:01:40"
223,1,13.5840091668069,7.89489733055234,48,405,"2018-10-17T20:14:28"
181,1,13.4538753,7.9072004,17,426,"2018-10-27T14:50:00"
477,1,13.5368384,2.1318858,28,254,"2018-12-17T13:43:38"
43,1,17.5168187,8.6482741,43,841,"2018-10-08T11:17:18"
221,1,14.2127951,8.0294592,24,463,"2018-10-24T19:18:56"
405,1,13.0703022,8.6566277,25,440,"2018-11-23T15:12:09"
131,1,12.9259421,3.4950958,35,193,"2018-11-22T09:45:10"
97,1,14.1428848,12.9892321,16,305,"2018-11-03T09:31:40"
305,1,13.6198723,2.8484508,27,233,"2018-11-27T12:59:35"
