"grappe","vague"
231,1
409,1
89,1
249,1
165,1
141,1
275,1
489,1
95,1
185,1
273,1
283,1
435,1
111,1
29,1
239,1
403,1
187,1
287,1
19,1
149,1
58,1
61,1
423,1
63,1
341,1
331,1
139,1
13,1
41,1
285,1
453,1
135,1
153,1
267,1
495,1
269,1
22,1
417,1
67,1
17,1
294,1
493,1
333,1
155,1
101,1
429,1
51,1
233,1
5,1
39,1
219,1
379,1
491,1
75,1
151,1
351,1
163,1
9,1
133,1
290,1
471,1
325,1
415,1
251,1
303,1
281,1
271,1
279,1
62,1
193,1
157,1
121,1
335,1
159,1
171,1
413,1
179,1
441,1
339,1
237,1
427,1
201,1
367,1
243,1
123,1
45,1
319,1
381,1
297,1
437,1
395,1
85,1
481,1
385,1
37,1
91,1
223,1
181,1
477,1
43,1
221,1
405,1
131,1
97,1
305,1
137,1
245,1
257,1
327,1
209,1
71,1
487,1
393,1
207,1
79,1
315,1
35,1
357,1
15,1
205,1
321,1
104,1
479,1
175,1
69,1
195,1
127,1
87,1
301,1
373,1
115,1
433,1
73,1
299,1
93,1
3,1
88,1
391,1
355,1
211,1
485,1
365,1
311,1
317,1
255,1
407,1
337,1
411,1
363,1
399,1
361,1
263,1
499,1
215,1
169,1
425,1
167,1
261,1
383,1
483,1
117,1
307,1
33,1
419,1
143,1
161,1
259,1
31,1
189,1
197,1
21,1
241,1
99,1
343,1
86,1
313,1
7,1
105,1
145,1
347,1
272,1
177,1
53,1
247,1
11,1
191,1
323,1
227,1
329,1
421,1
397,1
475,1
64,1
401,1
203,1
229,1
225,1
49,1
265,1
217,1
431,1
253,1
345,1
77,1
359,1
377,1
473,1
349,1
497,1
375,1
199,1
387,1
125,1
25,1
119,1
309,1
439,1
47,1
371,1
129,1
183,1
147,1
57,1
369,1
109,1
27,1
107,1
113,1
295,1
173,1
213,1
23,1
284,1
235,1
389,1
443,1
445,1
447,1
449,1
451,1
455,1
457,1
459,1
461,1
463,1
465,1
467,1
469,1
250,2
358,2
382,2
400,2
68,2
434,2
498,2
186,2
100,2
232,2
260,2
388,2
8,2
74,2
80,2
258,2
264,2
348,2
484,2
390,2
182,2
118,2
316,2
340,2
130,2
412,2
103,2
291,2
468,2
40,2
138,2
81,2
384,2
14,2
322,2
198,2
450,2
4,2
46,2
360,2
122,2
458,2
262,2
344,2
174,2
356,2
328,2
310,2
470,2
472,2
256,2
410,2
218,2
154,2
438,2
90,2
206,2
234,2
478,2
436,2
170,2
96,2
392,2
286,2
488,2
208,2
490,2
194,2
350,2
703,2
60,2
190,2
192,2
364,2
65,2
26,2
144,2
158,2
330,2
50,2
710,2
66,2
386,2
152,2
496,2
324,2
418,2
298,2
238,2
336,2
24,2
30,2
372,2
368,2
432,2
224,2
318,2
184,2
704,2
12,2
288,2
320,2
70,2
374,2
108,2
278,2
240,2
156,2
408,2
34,2
474,2
274,2
378,2
128,2
166,2
102,2
482,2
132,2
454,2
346,2
494,2
164,2
160,2
456,2
312,2
106,2
402,2
430,2
352,2
204,2
200,2
10,2
56,2
162,2
306,2
708,2
289,2
276,2
114,2
354,2
124,2
342,2
270,2
414,2
500,2
428,2
326,2
44,2
16,2
422,2
2,2
78,2
252,2
304,2
1,2
480,2
366,2
140,2
72,2
334,2
282,2
36,2
460,2
150,2
464,2
466,2
416,2
705,2
38,2
476,2
220,2
404,2
244,2
142,2
420,2
296,2
136,2
28,2
222,2
59,2
98,2
172,2
110,2
266,2
268,2
242,2
701,2
48,2
32,2
6,2
707,2
254,2
277,2
20,2
176,2
353,2
84,2
314,2
462,2
202,2
196,2
370,2
42,2
18,2
702,2
212,2
178,2
280,2
394,2
76,2
424,2
332,2
210,2
188,2
706,2
52,2
246,2
116,2
112,2
126,2
148,2
406,2
134,2
180,2
146,2
94,2
376,2
396,2
362,2
492,2
292,2
709,2
216,2
92,2
168,2
82,2
380,2
214,2
486,2
426,2
293,2
236,2
120,2
308,2
398,2
226,2
228,2
230,2
248,2
440,2
442,2
444,2
446,2
448,2
452,2
