"grappe","vague","s00q02","s00q03","s00q04__1","s00q04__2","s00q04__3","s00q04__4","s00q04__5","s00q04__6","s00q04__7","s00q04__8","s00q04__9","s00q05","s00q06"
231,1,1,70,0,0,0,0,0,0,1,0,0,50,1
409,1,2,40,0,0,0,0,0,0,0,0,1,40,1
89,1,1,68,1,0,0,0,0,0,0,0,0,50,1
249,1,1,44,0,0,1,0,0,0,0,0,0,2,4
165,1,1,45,0,0,0,0,0,0,0,0,1,45,1
141,1,1,48,0,1,0,0,0,0,0,0,0,28,2
250,2,1,35,0,0,0,0,0,0,0,0,1,0,1
275,1,2,44,0,0,0,0,0,1,0,0,0,44,1
489,1,1,70,1,0,0,0,0,0,0,0,0,65,1
95,1,1,80,0,0,0,0,0,0,1,0,0,80,1
358,2,1,75,0,1,0,0,0,0,0,0,0,54,1
185,1,1,74,0,1,0,0,0,0,0,0,0,74,1
273,1,2,50,0,0,0,0,0,0,0,0,1,50,1
382,2,1,55,0,0,0,0,0,0,1,0,0,3,1
400,2,1,47,0,0,0,0,0,0,0,0,1,4,1
68,2,1,50,0,1,0,0,0,0,0,0,0,50,1
434,2,1,71,0,1,0,0,0,0,0,0,0,20,1
283,1,1,38,0,0,0,0,0,1,0,0,0,3,5
498,2,1,51,0,0,1,0,0,0,0,0,0,7,5
435,1,2,34,0,0,0,0,1,0,0,0,0,1,4
111,1,2,48,0,0,0,0,0,0,0,0,1,48,2
186,2,1,36,0,1,0,0,0,0,0,0,0,1,3
100,2,1,70,0,1,0,0,0,0,0,0,0,70,1
29,1,1,74,1,0,0,0,0,0,0,0,0,14,1
239,1,1,65,0,1,0,0,0,0,0,0,0,65,1
232,2,1,65,0,1,0,0,0,0,0,0,0,65,1
403,1,1,65,0,0,0,0,0,0,1,0,0,65,1
187,1,1,56,0,0,0,0,0,0,0,0,1,56,1
287,1,1,46,0,0,0,0,0,1,0,0,0,1,2
19,1,1,81,0,0,0,0,0,0,0,0,1,50,1
260,2,1,60,0,0,0,0,0,0,0,0,1,4,1
149,1,2,51,0,0,0,0,0,0,0,0,1,51,1
58,1,1,39,0,0,0,0,0,1,0,0,0,39,1
388,2,1,62,0,0,0,0,0,0,0,0,1,62,1
61,1,1,83,1,0,0,0,0,0,0,0,0,45,1
8,2,1,39,0,1,0,0,0,0,0,0,0,3,1
423,1,1,28,0,0,0,0,0,0,0,0,1,1,1
74,2,1,50,0,1,0,0,0,0,0,0,0,50,1
63,1,1,72,0,0,0,0,0,0,0,0,1,72,1
341,1,1,55,0,1,0,0,0,0,0,0,0,50,1
331,1,1,53,0,0,0,0,0,0,0,0,1,53,1
139,1,1,76,1,0,0,0,0,0,0,0,0,76,1
80,2,1,68,1,0,0,0,0,0,0,0,0,68,1
13,1,2,56,0,0,0,0,0,0,0,0,1,45,1
258,2,1,56,1,0,0,0,0,0,0,0,0,15,1
41,1,1,26,0,0,0,0,0,1,0,0,0,6,1
285,1,1,44,0,0,0,0,0,0,1,0,0,0,1
135,1,1,59,0,1,0,0,0,0,0,0,0,59,1
153,1,1,45,1,0,0,0,0,0,0,0,0,45,1
267,1,1,60,0,0,0,0,0,1,0,0,0,20,1
264,2,1,41,0,1,0,0,0,0,0,0,0,4,1
495,1,2,56,0,0,0,0,0,0,0,0,1,56,3
269,1,1,58,0,0,0,0,0,1,0,0,0,58,1
22,1,1,39,0,0,0,0,0,0,0,0,1,5,1
348,2,1,40,0,0,1,0,0,0,0,0,0,3,4
484,2,1,45,0,0,0,0,0,1,0,0,0,13,1
417,1,1,48,0,0,0,0,0,0,0,0,1,20,1
