"grappe","vague","s01q01","s01q02__1","s01q02__2","s01q02__3","s01q02__4","s01q02__5","s01q02__6","s01q02__7","s01q02__8","s01q02__9","s01q02__10","s01q02__11","s01q02_autre","s01q03__1","s01q03__2","s01q03__3","s01q03__4","s01q03__5","s01q03__6","s01q03__7","s01q03__8","s01q03__9","s01q03__10","s01q03_autre","s01q04","s01q04_autre","s01q05","s01q06","s01q06_autre","s01q07","s01q08__1","s01q08__2","s01q08__3","s01q08__4","s01q08__5","s01q09","s01q10","s01q10_autre","s01q11","s01q12","s01q13","s01q13a__1","s01q13a__2","s01q13a__3","s01q13a__4","s01q13a__5","s01q13b__1","s01q13b__2","s01q13b__3","s01q13b__4","s01q13b__5","s01q14__1","s01q14__2","s01q14__3","s01q14__4","s01q14__5","s01q14__6","s01q14__7","s01q14__8","s01q14__9","s01q14__10"
231,1,5000,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,5,,0,1,,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
409,1,300,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,2,,42,3,,1,1,0,0,0,0,1,1,,2,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
89,1,100,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,7,"DÉPRESSION INTER-DUNE (CUVETTE)",140,3,,1,0,1,0,0,0,2,4,,2,2,2,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0
249,1,6000,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,2,,32,2,,1,1,0,0,0,1,1,1,,2,2,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1
165,1,12000,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,5,,31,1,,1,1,1,0,0,1,2,1,,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
141,1,3000,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,2,,0,1,,1,1,1,0,1,1,2,1,,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1
275,1,300,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,5,,60,3,,1,1,0,0,0,0,1,1,,2,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
489,1,16000,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,5,,0,1,,1,1,1,0,1,1,2,1,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0
95,1,150,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,,7,"SOMMET DE DUNE",160,3,,2,,,,,,,,,2,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
185,1,2000,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,1,,23,1,,1,1,1,0,0,1,2,1,,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
273,1,2000,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,1,,75,3,,1,1,1,0,0,0,1,3,,2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
