"vague","grappe","menage","s10q02","s10q03","s10q04","s10q05","s10q06","s10q07","s10q08","s10q09","s10q10","s10q11","s10q01"
2,1,1,2,2,2,2,2,2,2,2,2,0,1
2,1,2,2,2,2,2,2,2,2,2,2,0,1
2,1,3,2,2,2,2,2,2,2,2,1,1,1
2,1,4,2,2,2,2,2,2,2,2,1,1,1
2,1,5,2,2,2,2,2,2,2,2,1,1,1
2,1,6,2,2,2,2,2,2,2,2,2,0,1
2,1,7,2,2,2,2,2,2,2,2,2,0,1
2,1,8,2,2,2,2,2,2,2,2,2,0,1
2,1,9,2,2,2,2,2,2,2,2,2,0,1
2,1,10,2,2,2,2,2,2,2,2,2,0,1
2,1,11,2,2,2,2,2,2,2,2,2,0,2
2,1,12,2,2,2,2,2,2,2,2,2,0,1
2,2,1,2,2,2,1,2,2,2,2,2,1,1
2,2,2,2,2,2,1,2,2,2,2,2,1,1
2,2,3,2,2,2,2,2,1,2,2,2,1,1
2,2,4,2,2,2,2,2,2,2,2,2,0,1
2,2,5,2,2,2,2,2,2,2,2,1,1,1
2,2,6,2,2,2,1,2,2,2,2,2,1,1
2,2,7,2,2,2,2,2,1,2,2,1,1,1
2,2,9,2,2,2,2,2,2,2,2,1,1,1
2,2,10,2,2,2,1,2,2,2,2,2,1,1
2,2,11,1,2,2,2,2,2,2,2,2,1,1
2,2,13,2,2,2,1,2,2,2,2,2,1,1
2,2,16,2,2,2,1,2,2,2,2,2,1,1
1,3,2,2,2,2,2,1,2,2,2,2,1,2
1,3,3,2,2,2,1,2,2,2,2,2,1,2
1,3,4,2,2,2,1,2,2,2,2,2,1,2
1,3,5,2,2,2,2,2,2,2,2,2,0,1
1,3,7,2,2,2,2,2,2,2,2,2,0,1
1,3,8,2,2,2,2,2,2,2,2,2,0,2
1,3,9,2,2,2,2,2,2,2,2,2,0,1
1,3,10,2,2,2,1,2,2,2,2,2,1,1
1,3,11,2,2,2,2,2,2,2,2,2,0,1
1,3,12,2,2,2,2,2,2,2,2,2,0,2
1,3,14,2,2,2,2,2,2,2,2,2,0,2
1,3,15,2,2,2,2,2,2,2,2,2,0,2
2,4,1,2,2,2,2,2,1,2,2,2,1,1
2,4,3,2,2,2,2,2,2,2,2,2,0,2
2,4,4,2,2,2,2,2,2,2,2,2,0,1
2,4,6,2,2,2,2,1,2,2,2,2,1,1
2,4,7,2,2,2,1,2,2,2,2,2,1,1
2,4,8,1,2,2,2,2,2,2,2,2,1,2
2,4,9,1,2,2,2,2,2,2,2,2,1,1
2,4,11,2,2,2,2,2,2,2,2,2,0,1
2,4,12,2,2,2,2,1,2,2,2,2,1,1
2,4,13,2,1,2,2,2,2,2,2,2,1,1
2,4,14,2,2,2,2,2,2,2,2,2,0,1
2,4,15,2,2,2,1,2,2,2,2,2,1,1
1,5,1,2,2,2,2,2,2,2,2,2,0,1
1,5,2,2,2,2,2,2,2,2,2,1,1,1
1,5,3,1,2,1,2,2,2,2,2,2,1,1
1,5,4,2,2,2,2,2,2,2,2,2,0,1
1,5,5,2,2,2,2,1,1,2,2,2,1,1
1,5,6,1,2,2,2,2,2,2,2,2,1,1
1,5,7,2,2,1,2,2,2,2,2,2,1,1
1,5,8,2,2,2,2,2,2,2,2,2,0,1
1,5,9,2,2,2,2,2,2,2,2,1,1,1
1,5,10,2,2,2,2,2,2,2,2,2,0,1
1,5,11,2,2,1,2,2,2,2,2,2,1,1
1,5,12,2,2,2,1,2,2,2,2,2,1,2
2,6,1,2,2,2,2,2,2,2,2,2,0,1
2,6,3,2,2,2,1,2,2,2,2,2,1,1
2,6,5,2,2,2,1,2,2,2,2,2,1,1
2,6,6,2,2,2,2,2,2,2,2,2,0,1
2,6,7,1,2,2,1,2,2,2,2,2,1,10
2,6,9,2,2,2,2,2,2,2,2,2,0,1
2,6,10,2,2,2,2,1,2,2,2,2,1,1
2,6,11,2,2,2,2,2,2,2,2,2,0,1
2,6,12,1,2,2,2,2,2,2,2,2,1,1
2,6,14,2,2,2,1,2,2,2,2,2,1,1
2,6,15,2,2,2,1,2,2,2,2,2,1,1
2,6,16,2,2,2,2,2,2,2,2,2,0,1
1,7,1,2,2,2,2,2,2,2,2,1,1,1
1,7,2,2,2,2,1,2,2,2,2,2,1,1
1,7,4,1,2,2,2,2,1,1,2,2,1,3
1,7,5,1,2,2,2,2,2,2,2,2,1,2
1,7,6,2,2,2,1,2,2,2,2,2,1,1
1,7,7,2,2,2,2,2,2,2,2,2,0,1
1,7,8,1,2,2,2,2,2,2,2,2,1,1
1,7,9,1,2,2,2,2,2,2,2,2,1,3
1,7,10,2,2,2,2,2,2,1,2,2,1,1
1,7,11,2,2,2,2,2,2,2,2,2,0,1
1,7,12,2,2,2,2,2,2,1,2,2,1,1
1,7,13,2,2,2,1,2,2,2,2,2,1,1
2,8,2,2,2,2,2,2,2,2,2,2,0,2
2,8,3,1,2,2,2,2,2,2,2,2,1,2
2,8,4,1,2,1,2,2,2,2,2,2,1,1
2,8,5,2,2,2,2,2,2,2,2,1,1,2
2,8,6,2,2,2,1,2,2,2,2,2,1,1
2,8,7,2,2,2,1,2,2,2,2,2,1,1
2,8,9,2,2,2,1,2,2,2,2,2,1,1
2,8,10,2,2,2,1,2,2,2,2,2,1,1
2,8,11,2,2,2,2,2,2,2,2,2,0,2
2,8,12,2,2,2,1,2,2,2,2,2,1,1
2,8,14,1,2,2,2,2,2,2,2,2,1,1
2,8,16,1,2,2,2,2,2,2,2,2,1,2
1,9,1,2,2,2,2,2,1,2,2,2,1,1
1,9,2,2,2,2,2,2,2,2,2,2,0,1
