"vague","grappe","menage","s17q00","s17q01","s17q02","s17q03","s17q51","s17q38b","s17q34b","s17q04","s17q05","s17q06","s17q07a1","s17q07b1","s17q07c1","s17q07d1","s17q07e1","s17q07a2","s17q07a3","s17q07a4","s17q07b2","s17q07b3","s17q07b4","s17q07c2","s17q07c3","s17q07c4","s17q07d2","s17q07d3","s17q07d4","s17q07e2","s17q07e3","s17q08","s17q09","s17q10","s17q11","s17q12","s17q13","s17q14","s17q15__0","s17q15__1","s17q16","s17q17","s17q18a","s17q18b","s17q18c","s17q18d","s17q18e","s17q18f","s17q18g","s17q18h","s17q18i","s17q19","s17q20","s17q21","s17q22__0","s17q22__1","s17q23","s17q24a","s17q24b","s17q25","s17q26","s17q27__0","s17q27__1","s17q28","s17q29","s17q30","s17q31a","s17q31b","s17q32a","s17q32b","s17q33","s17q34a","s17q35","s17q36__0","s17q36__1","s17q37","s17q38a","s17q39","s17q40","s17q41__0","s17q41__1","s17q42","s17q43","s17q44","s17q45","s17q46","s17q47__0","s17q47__1","s17q48","s17q49","s17q50","s17q52","s17q53","s17q54","s17q55","s17q56","s17q57","s17q58","s17q59","s17q60","s17q61"
2,1,1,1,"Caprins (Chèvres)",3,1,,2,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,4,1,100,75000,2500,1,2,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,1,3,4,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,1,1,"Camelins (Chameaux)",4,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,2,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,2,,,2,,2,,2,
2,1,2,1,"Ovins (Moutons)",2,1,,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,2,1,"Camelins (Chameaux)",4,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,1,2,1,"Bovins",1,1,,2,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,3,1,100,550000,15000,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,4,5,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,1,2,1,"Caprins (Chèvres)",3,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,3,1,"Caprins (Chèvres)",3,1,,2,,1,13,13,1,,,,,13,1,2,,,,,,,,,,,,0,,7,1,100,130000,3500,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,5,4,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,1,3,1,"Ovins (Moutons)",2,1,,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,4,1,100,110000,2500,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,3,1,"Camelins (Chameaux)",4,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,3,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,2,,,2,,2,,2,
2,1,4,1,"Caprins (Chèvres)",3,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,2,1,100,35000,1000,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,12000,2,,,2,,2,,2,
2,1,5,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2000,2,,,2,,2,,2,
2,1,5,1,"Camelins (Chameaux)",4,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,5,1,"Caprins (Chèvres)",3,1,,2,,1,15,15,1,2,,,,10,1,1,5,1,2,,,,,,,,,0,,10,1,100,124000,12000,1,2,1,1,2,2,0,0,0,0,0,0,5,2,,,,,2,,,2,,,,1,2,5,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,6000,2,,,2,,2,,2,
2,1,5,1,"Ovins (Moutons)",2,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,2,0,0,0,0,1,0,5,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
