departement;departement_nom
1;abengourou
2;abidjan
3;aboisso
4;adzope
5;agboville
6;agnibilekrou
7;bangolo
8;beoumi
9;biankouma
10;bondoukou
11;bongouanou
12;bouafle
13;bouake
14;bouna
15;boundiali
16;dabakala
17;daloa
18;danane
19;daoukro
20;dimbokro
21;divo
22;duekoue
23;ferkessedougou
24;gagnoa
25;GRAND-LAHOU
26;guiglo
27;issia
28;katiola
29;korhogo
30;lakota
31;man
32;mankono
33;M'BAHIAKRO
34;odienne
35;oume
36;sakassou
37;SAN-PEDRO
38;sassandra
39;seguela
40;sinfra
41;soubre
42;tabou
43;tanda
44;tengrela
45;tiassale
46;touba
47;toumodi
48;vavoua
49;yamoussoukro
50;zuenoula
51;adiake
52;alepe
53;bocanda
54;dabou
55;GRAND-BASSAM
56;jacqueville
57;tiebissou
58;toulepleu
59;blolequin
60;akoupe
61;didievi
62;kouibly
63;nassian
64;prikro
65;sikensi
66;ZOUAN-HOUNIEN
67;madinani
68;minignan
69;kounahiri
70;KOUN-FAO
71;arrha
72;attiegouakro
73;bettie
74;botro
75;dikodougou
76;doropo
77;fresco
78;gueyo
79;guitry
80;kani
81;kaniasso
82;koro
83;kouto
84;M'BATTO
85;niakaramadougou
86;ouangolodougou
87;ouaninou
88;samatiguila
89;sandegue
90;sinematiali
91;tehini
92;tiapoum
93;transua
94;YAKASSE-ATTOBROU
95;zoukougbeu
96;buyo
97;dianra
98;djekanou
99;facobly
100;
101;kong
102;KOUASSI-KOUASSIKRO
103;M'BENGUE
104;meagui
105;seguelon
106;sipilou
107;taabo
108;taœ
