departement;departement_nom
101;golfe
102;lacs
103;BAS-MONO
104;vo
105;yoto
106;zio
107;ave
201;ogou
202;anie
203;EST-MONO
204;akebou
205;wawa
206;amou
207;danyi
208;kpele
209;kloto
210;agou
211;haho
212;MOYEN-MONO
301;tchaoudjo
302;tchamba
303;sotouboua
304;blitta
305;Sous Prefecture de MO
401;kozah
402;binah
403;doufelgou
404;keran
405;dankpen
406;bassar
407;assoli
501;tone
502;cinkasse
503;kpendjal
504;oti
505;tandjoare
601;GOLFE2
602;Arrondissement II
603;Arrondissement III
604;Arrondissement IV
605;Arrondissement V
606;
